date,baseline_reg,baseline_clf,xgboost_reg,xgboost_clf,lstm_reg,lstm_clf,buy_and_hold
2024-02-15,10000.0,10143.661243144496,10143.661243144496,10143.661243144496,,,
2024-02-16,10000.0,10014.287342286812,10138.589412522922,10014.287342286812,,,
2024-02-20,10000.0,9979.702743226113,10098.506238357408,9979.702743226113,,,
2024-02-21,10000.0,10069.367242472183,10189.238149747274,10069.367242472183,,,
2024-02-22,10000.0,9797.81036618877,10184.143530672403,9797.81036618877,,,
2024-02-23,10000.0,9937.43191760879,10184.143530672403,9937.43191760879,,,
2024-02-26,10000.0,10102.6716181649,10348.393482216616,10102.6716181649,,,
2024-02-27,10000.0,10060.400792547576,10343.219285475509,10060.400792547576,,,
2024-02-28,10000.0,10024.534992849149,10343.219285475509,10024.534992849149,,,
2024-02-29,10000.0,10243.573392952898,10343.219285475509,10243.573392952898,,,
2024-03-01,10000.0,10086.018941683666,10343.219285475509,10086.018941683666,,,
2024-03-04,10000.0,10010.444717643371,10260.546257671847,10010.444717643371,,,
2024-03-05,10000.0,10135.97501658787,10255.415984543013,10135.97501658787,,,
2024-03-06,10000.0,10110.35686745178,10255.415984543013,10110.35686745178,,,
2024-03-07,10000.0,9992.51181779416,10255.415984543013,9992.51181779416,,,
2024-03-08,10000.0,9982.264167231824,10239.771009091139,9982.264167231824,,,
2024-03-11,10000.0,9934.869516333332,10234.651123586593,9934.869516333332,,,
2024-03-12,10000.0,10211.550217897911,10514.563253971572,10211.550217897911,,,
2024-03-13,10000.0,10408.81309350901,10509.305972344588,10408.81309350901,,,
2024-03-14,10000.0,10380.632543097461,10509.305972344588,10403.608686962256,10000.0,9967.926259547188,9967.926259547188
2024-03-15,10000.0,10595.828318557775,10509.305972344588,10403.608686962256,10000.0,10174.566424512936,10174.566424512936
2024-03-18,10000.0,10691.89784372274,10509.305972344588,10403.608686962256,10000.0,10266.816481400929,10266.816481400929
2024-03-19,10000.0,10462.61179305665,10278.680922366162,10175.303147119708,10000.0,10046.646233018319,10046.646233018319
2024-03-20,10000.0,10384.475167740899,10273.54158190498,10099.312193311376,10000.0,9971.61611167613,9971.61611167613
2024-03-21,10000.0,10328.1140669178,10273.54158190498,10044.498797008075,10000.0,9917.495778008688,9917.495778008688
2024-03-22,10000.0,10497.196392117346,10436.59372609385,10208.938035484556,10000.0,10079.855840594912,10079.855840594912
2024-03-25,10000.0,10454.926543769769,10394.567911048744,10167.828938690502,10000.0,10039.266528760436,10039.266528760436
2024-03-26,10000.0,10420.340967439322,10360.182004997227,10134.193099892233,10000.0,10034.246895496055,10006.055982767739
